Comment,Designator,Footprint,Quantity,JLCPCB Part #
1uF,"C10, C12, C13",1206,3,C1848
22uF,"C8, C11, C15",1210,3,C19659
0.1 uF,"C2, C5, C6, C9, C14, C16, C17, C18, C20, C23",1206,10,C24497
47 uF,"C21, C24",1210,2,C76680
100 uF,"C3, C22",1210,2,C84455
10 uF,C4,1206,1,C13585
68pF,C7,1206,1,C107178
BZX84C10,D1,SOT-23-3,1,C19077470
D_Schottky,"D2, D3",D_SMA-SMB_Universal_Handsoldering,2,C2480
LED,"D4, D5, D6, D7, ON1",0805,5,C84256
Fuse,F1,1812,1,C3102
TPS54202HDDCR,IC1,IC1,1,C527684
USB_C_Receptacle_USB2.0_14P,J3,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,C165948
33uH,L1,L_Bourns_SRP7028A_7.3x6.6mm,1,C329385
AO3401A,Q1,SOT-23,1,C15127
100k,"R1, R7",1210,2,C620660
1k,"R4, R10, R11, R15, R16",1210,5,C270888
470,"R9, R12",1210,2,C137072
10k,"R13, R14, R21, R23",1210,4,C422430
0.4,"R17, R18, R19, R20",1206,4,C247521
5.1K,"R2, R3",1210,2,C2933867
30k,R22,1210,1,C728373
250k,R5,1210,1,C374782
56K,R6,1210,1,C147160
13.7KOhms,R8,1210,1,C54124
on/off,SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,C221530
EN,"SW2, SW3, SW4, SW5, SW6",SW_Push_SPST_NO_Alps_SKRK,5,C202388
USBLC6-2SC6,U2,SOT-23-6,1,C2827654
TPS3702,U3,SOT-23-6,1,C2068031
AP2112K-3.3,U5,SOT-23-5,1,C23380830
ESP32-S3-WROOM-1,U6,ESP32-S3-WROOM-1,1,C2913202
DRV8870DDA,"U7, U8",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,C86590
TestPoint,"GND, TP1, TP3, TP4, TP5, TP6",TestPoint_Pad_1.5x1.5mm,6,
Conn_01x01_Pin,"J1, J2, J13, J14, J15, J16",SolderWirePad_1x01_SMD_5x10mm,6,
Edge R,J10,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,
Conn_01x04_Socket,J17,PinHeader_1x04_P1.27mm_Vertical,1,
r ir,J5,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,
l ir,J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,
gnd break out,J7,PinHeader_1x03_P1.27mm_Vertical,1,
Edge L,J8,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,
3V3 breakout,J9,PinHeader_1x03_P1.27mm_Vertical,1,
servo,SERVO,PinHeader_1x03_P1.27mm_Vertical,1,
OC09600,U4,MODULE_OC09600,1,
