Designator,Mid X,Mid Y,Rotation,Layer
C10,107.25,-118.0,270.0,top
C11,79.25,-111.25,270.0,top
C12,95.75,-117.8125,270.0,top
C13,96.0,-96.5,180.0,top
C14,96.5,-90.4375,270.0,top
C15,93.0,-90.5,270.0,top
C16,41.4375,-117.0,0.0,top
C17,181.5,-128.0625,90.0,top
C18,91.0,-126.55,180.0,top
C2,45.5,-131.5,180.0,top
C20,40.5,-125.0625,90.0,top
C21,37.4,-125.145,90.0,top
C22,151.25,-124.49375,90.0,top
C23,195.75,-128.1875,270.0,top
C24,198.5,-128.1875,270.0,top
C3,76.0,-124.4875,90.0,top
C4,79.0,-124.4,90.0,top
C5,189.0,-130.5,0.0,top
C6,83.0625,-117.25,180.0,top
C7,87.75,-111.4375,270.0,top
C8,83.5,-111.25,270.0,top
C9,84.0,-96.9875,270.0,top
D1,79.3625,-136.0,0.0,top
D2,109.0,-125.5,0.0,top
D3,109.0,-131.05,0.0,top
D4,65.0,-121.25,180.0,top
D5,98.025,-123.0,0.0,top
D6,146.0,-99.25,270.0,top
D7,124.75,-126.0,180.0,top
F1,92.0,-136.05,0.0,top
GND,141.575,-142.425,0.0,top
IC1,88.3,-122.845,90.0,top
J1,100.9,-141.0,0.0,top
J10,185.0,-99.45,0.0,top
J13,42.5,-141.0,180.0,top
J14,48.5,-141.0,180.0,top
J15,185.145,-140.425,0.0,top
J16,191.745,-140.425,0.0,top
J17,160.695722,-136.745,180.0,top
J2,107.5,-141.0,0.0,top
J3,118.5,-143.0,0.0,top
J5,185.0,-93.2,0.0,top
J6,50.5,-100.55,180.0,top
J7,61.5,-95.0,0.0,top
J8,50.5,-94.0,180.0,top
J9,65.65,-95.0,0.0,top
L1,73.75,-114.25,90.0,top
ON1,74.0,-142.825,270.0,top
Q1,84.9375,-136.0,180.0,top
R1,84.5,-130.5,90.0,top
R10,65.0,-116.2,270.0,top
R11,99.5,-117.95,270.0,top
R12,127.0,-102.55,270.0,top
R13,95.885,-100.03,0.0,top
R14,122.25,-102.8,270.0,top
R15,140.249293,-99.700707,270.0,top
R16,120.2,-126.5,0.0,top
R17,54.5,-129.9625,270.0,top
R18,51.19,-129.9625,270.0,top
R19,197.7925,-119.935,90.0,top
R2,123.75,-136.255,0.0,top
R20,201.6025,-119.935,90.0,top
R21,91.0,-129.55,0.0,top
R22,99.0,-129.55,0.0,top
R23,72.0,-126.3,270.0,top
R3,114.7,-136.255,180.0,top
R4,79.2625,-144.25,180.0,top
R5,67.0,-128.75,90.0,top
R6,67.0,-135.15,270.0,top
R7,92.75,-111.15,270.0,top
R8,97.75,-110.95,90.0,top
R9,87.5,-102.5,270.0,top
SERVO,124.0,-119.48,180.0,top
SW1,91.4,-142.05,0.0,top
SW2,87.6,-97.05,270.0,top
SW3,130.75,-102.5,90.0,top
SW4,134.0,-125.0,270.0,top
SW5,138.65,-125.0,270.0,top
SW6,143.3,-125.0,270.0,top
TP1,83.4,-141.4,0.0,top
TP3,94.5,-122.7,0.0,top
TP4,136.1,-131.9,0.0,top
TP5,119.2,-122.0,0.0,top
TP6,102.8,-120.3,0.0,top
U2,119.3,-133.6175,270.0,top
U3,77.3875,-131.55,180.0,top
U4,144.94,-112.62375,270.0,top
U5,103.5,-115.0,0.0,top
U6,109.25,-93.26,0.0,top
U7,45.3,-123.125,270.0,top
U8,189.85,-124.2,0.0,top
